0,1,2,3,4,5,6,7,8
B2802,DTE ELECTRIC COMPANY - OLIVER PEAKING FACILITY,346 GAGETOWN ROAD,OLIVER TWP,48755,HURON,View,View,
A1453,BERNE FOUNDRY LLC,7190 BERNE RD,PIGEON,48755,HURON,View,View,
B7013,"HURON CASTING, INC (BLUE DIAMOND STEEL CASTING)",7050  HARTLEY ST. & 125 STURM RD,PIGEON,48755,HURON,View,View View,
N8253,LES SCHAPER,2167 CASEVILLE RD,PIGEON,48755,HURON,View,View,
M1959,SCHEURER HOSPITAL,170 N CASEVILLE RD,PIGEON,48755,HURON,View,,
N4989,THE L J GASCHO FURNITURE CO,8308 HAIST RD,PIGEON,48755,HURON,View,View,
N7278,THUMB TRUCK EQUIPMENT INC.,8305 GEIGER ROAD,PIGEON,48755,HURON,,View,
N8162,CLAYTON UNIT CPF,COBRA - CLAYTON UNIT FACILITY,MELITA,48756,ARENAC,View,View,
"U651904557 HILLTOP AUTO, LLC",,1805 GREENWOOD ROAD,PRESCOTT,48756,OGEMAW,View,,
,,EGLE Air Quality Division Source Master List Sorted By ZIP Code,,,,,,
Source ID,Company,Address,City,ZIP Code County,Other* ROP,PTI,,
B1989,"ADVANCED MICRONUTRIENT PRODUCTS, INC",2405 W. VASSAR RD. (M-15),REESE,"48757
SAGINAW",View,View,,
"U731802383 DAVE HAUSBACK TRUCKING, INC. (DHT)",,2695 WEST VASSAR ROAD,REESE,"48757
SAGINAW",View,,,
P0917,"DAVE HAUSBECK TRUCKING, INC. (DHT)",2695 WEST VASSAR ROAD,REESE,"48757
SAGINAW",View,,,
P0619,DIETZEL AUTO BODY,11 S. BRADLEYVILLE,REESE,"48757
TUSCOLA",,View,,
U79110044,DIETZEL AUTO BODY,11 BRADLEYVILLE ROAD,REESE,"48757
TUSCOLA",View,,,
P0628,JEREMY FRAHM,8865 W. CARO ROAD,REESE,"48757
TUSCOLA",,View,,
U791501839,JEREMY FRAHM HOGS,8685 WEST CARO ROAD,REESE,"48757
TUSCOLA",View,,,
P0741,CONSUMERS ENERGY HURON COMPRESSOR STATION,9501 SEBEWAING ROAD,SEBEWAING,"48759
HURON",View,,,
B2873,MICHIGAN SUGAR COMPANY  -  SEBEWAING FACTORY,763 N BECK ST,SEBEWAING,"48759
HURON","View
View",,,
P0500,SEBEWAING LIGHT AND WATER DEPARTMENT-BULB CRUSHER,350 PINE STREET,SEBEWAING,"48759
HURON",View,,,
N2726,SEBEWAING LIGHT AND WATER DEPT.,350 PINE STREET,SEBEWAING,"48759
HURON",View,View,,
P0829,SEBEWAING LIGHT AND WATER DEPT.,120 WEST MAIN STREET,SEBEWAING,"48759
HURON",View,View,,
N5346,"MATTHEWS MILL, INC.",6400 E COUNTY LINE ROAD,SOUTH BRANCH,"48761
IOSCO",View,,,
N8181,RIVERSIDE - NORTH BAY CPF,"T28N-R7E, SE SW SW OF SEC 6",CALEDONIA TWP,"48762
ALCONA",View,View,,
N7901,TRENDWELL ANTRIM INC - WOLF CREEK CPF,NW NE SEC 20,CALEDONIA TWP,"48762
ALCONA",View,View,,
N6860,SAVOY ENERGY LP - BECK 1-7C,"SPRUCE RD, NW NE NE SEC 7 CALEDONIA TWP",SPRUCE,"48762
ALCONA",View,,,
N1488,MINTH GROUP,905 CEDAR STREET,TAWAS CITY,"48763
IOSCO",View,View,,
N5477,R E GLANCY INC,124 M-55,TAWAS CITY,"48763
IOSCO",View,View,,
N5963,R E GLANCY INC,124 M-55,TAWAS CITY,"48763
IOSCO",View,View,,
N6355,"R.E. GLANCY, INC.",124 M-55,TAWAS CITY,"48763
IOSCO",,View,,
A1744,"TAWAS PLATING COMPANY & TAWAS POWDER COATING, INC.",510 INDUSTRIAL AVENUE,TAWAS CITY,"48763
IOSCO",View,,,
N5071,THE DANGLER GUYS,620 9TH AVE,TAWAS CITY,"48763
IOSCO",View,,,
B4102,U S GYPSUM CO,1550 GYPSUM ROAD,TAWAS CITY,"48763
IOSCO",View,,,
M4246,ZUBEK MOTOR FACILITIES,492 M55,TAWAS CITY,"48763
IOSCO",View,,,
N6455,R E GLANCY INC,111 N WALKER RD  OMER QUARRY,TWINING,"48766
ARENAC",View,,,
B4350,ASTECH INC,5512 SCOTCH RD,VASSAR,"48768
TUSCOLA",View,View,,
B2043,"TPOP, LLC VASSAR FOUNDRY",700 E. HURON AVE.,VASSAR,"48768
TUSCOLA",View,,,
B7748,TUSCOLA MINERALS CO,4702  SAGINAW RD,VASSAR,"48768
TUSCOLA",View,View,,
N1327,VASSAR COATINGS INC.,211 S SHERMAN ST,VASSAR,"48768
TUSCOLA",,View,,
P0562,COBRA - STATE MARION & RIVERSIDE 14-36,"SW 1/4 OF NE/4, SECTION 36, T21N R7W",MCBAIN,"48770
MISSAUKEE",View,View,,
N0369,NEAR'S INC,425 N BULLOCK,WHITTEMORE,"48770
IOSCO",View,,,
N3188,RENO GAS PLANT,282 M-65,WHITTEMORE,"48770
IOSCO",View,View,,
N6260,"TAWAS WOOD PRODUCTS, LLC",6888 W WHITTEMORE,WHITTEMORE,"48770
IOSCO",View,,,
B2487,ALMA PRODUCTS CO,150 N COURT ST,ALMA,"48801
GRATIOT",View,,,
B4373,ALMA PRODUCTS I INC,2000 MICHIGAN AVE,ALMA,"48801
GRATIOT",View,,,
N0904,AVALON & TAHOE MFG,903 E MICHIGAN AVE,ALMA,"48801
GRATIOT",View,,,
A1337,CENTRAL CONCRETE,1277 N. BRIDGE STREET,ALMA,"48801
GRATIOT",View,,,
M3582,"IAC GROUP, ALMA, LLC (FORMALLY LEAR CORPORATION)",1965 WILLIAMS RD,ALMA,"48801
GRATIOT",View,View,,
U291803460,LUCE ELEMENTARY SCHOOL,6265 N LUCE RD,ALMA,"48801
GRATIOT",View,,,
D6315,MASONIC PATHWAYS,1200 WRIGHT ROAD,ALMA,"48801
GRATIOT",View,View,,
A1346,MERRILL FABRICATORS,520 REPUBLIC ST,ALMA,"48801
GRATIOT",View,View,,
N5224,"MICHIGAN PAVING & MATERIALS, ALMA TERMINAL",1950 WILLIAMS ST,ALMA,"48801
GRATIOT",View,,,
D6394,MID MICHIGAN MEDICAL CENTER - GRATIOT,300 WARWICK DR,ALMA,"48801
GRATIOT",View,,,
N6810,MIDWEST AUTO CENTER INC,3440 W MONROE RD,ALMA,"48801
GRATIOT",View,,,
N7951,"MRP PROPERTIES COMPANY, LLC",1925 E SUPERIOR ST,ALMA,"48801
GRATIOT",View,View,,
B2864,"SHILOH INDUSTRIES, LLC",250 ADAMS AVENUE,ALMA,"48801
GRATIOT",View,,,
N6702,"HUBSCHER & SON, INC. - ASPHALT PRODUCTS SYSTEM",P.O. BOX 411,MOUNT PLEASANT,"48804
ISABELLA",View,,,
N6706,"HUBSCHER & SON, INC. - HP200",P.O. BOX 411,MOUNT PLEASANT,"48804
ISABELLA",View,,,
N6704,"HUBSCHER & SON, INC. - PIONEER 50VE PORTABLE",P.O. BOX 411,MOUNT PLEASANT,"48804
ISABELLA",View,,,
N6705,"HUBSCHER AND SON, INC- CEDARAPIDS 443",P.O. BOX 411,MOUNT PLEASANT,"48804
ISABELLA",View,,,
N6817,LUKE'S SANDBLASTING & PAINTING,6828 LEA PICK DR,MOUNT PLEASANT,"48804
ISABELLA",View,,,
M2326,ACE TOOL & ENGINEERING,500  REED STREET,BELDING,"48809
IONIA",View,,,
N3748,"BELDING TANK TECHNOLOGIES, INC.",200 N GOODING ST.,BELDING,"48809
IONIA","View
View",,,
P0691,DYNAMIC CRUSHING LLC,11621 BELDING RD NE,BELDING,"48809
IONIA",View,View,,
A1702,KASSOUNI MANUFACTURING INC,815 S FRONT ST,BELDING,"48809
IONIA",View,,,
B1650,MUELLER BRASS CO,302 ASHFIELD,BELDING,"48809
IONIA",View,View,,
N5619,PITSCH SANITARY LANDFILL,7905 JOHNSON RD,BELDING,"48809
IONIA","View
View",,,
B1652,"ROBROY ENCLOSURES, INC.",500 MAPLE ST,BELDING,"48809
IONIA",View,View,,
M4235,"SPECTRUM E-COAT, INC.",226 CRAWFORD ST,BELDING,"48809
IONIA",View,,,
N1112,W MICHIGAN AUTO STEEL & EN,550 E ELLIS,BELDING,"48809
IONIA",View,,,
P0676,WIESEN POWDER COAT,8634 STOREY ROAD,BELDING,"48809
IONIA",View,View,,
U591607343 CHURCH,,321 EAST MAIN STREET,CARSON CITY,"48811
MONTCALM",View,,,
U591810306 COMMERCIAL STORAGE,,116 E. SHERMAN,CARSON CITY,"48811
MONTCALM",View,,,
F6726,CRYSTAL REFINING CO.,801 N WILLIAMS ST,CARSON CITY,"48811
MONTCALM",,View,,
N6873,DTE ELECTRIC COMPANY - RENAISSANCE POWER PLANT,950 N. DIVISION STREET,CARSON CITY,"48811
MONTCALM","View
View",,,
N1611,ALIVE,800 W. LAWRENCE,CHARLOTTE,"48813
EATON",View,,,
N3140,CHARLOTTE ANODIZING PRODUCTS,591 E PACKARD HWY,CHARLOTTE,"48813
EATON",View,,,
D1428,CHARLOTTE HIGH SCHOOL,378 STATE STREET,CHARLOTTE,"48813
EATON",View,,,
"U231504252 CITIZENS GRAIN ELEVATOR, LLC",,421 N. COCHRAN AVE,CHARLOTTE,"48813
EATON",View,,,
B6189,CITY OF CHARLOTTE WASTE WATER TREATMENT PLANT,1005 PAINE DR.,CHARLOTTE,"48813
EATON",View,View,,
D1263,EATON FARM BUREAU CO-OP,2328 E CLINTON TRAIL,CHARLOTTE,"48813
EATON",View,,,
B1589,L L JOHNSON LUMBER MFG CO,563 N COCHRAN,CHARLOTTE,"48813
EATON",View,,,
N6818,LINN PRODUCTS INC,1200 LIPSEY DRIVE,CHARLOTTE,"48813
EATON",View,View,,
N7920,MICHIGAN PALLET INC,1100 PACKARD HWY,CHARLOTTE,"48813
EATON",View,,,
K3061,PARKVIEW ELEMENTARY SCHOOL,301 E. KALAMO,CHARLOTTE,"48813
EATON",View,,,
U231609347 RESIDENTIAL HOME,,M-79 AND AINGER STREET,CHARLOTTE,"48813
EATON",View,,,
N0823,S P KISH INDUSTRIES INC,600 W SEMINARY ST,CHARLOTTE,"48813
EATON",View,,,
N2503,"SPARTAN FIRE, LLC",1663 REYNOLDS RD,CHARLOTTE,"48813
EATON",View,View,,
N3427,TEAM ONE CHEVROLET,1616 LANSING RD.,CHARLOTTE,"48813
EATON",View,,,
P1175,UTILIMASTER CORPORATION,1111 MIKESELL STREET,CHARLOTTE,"48813
EATON",View,View,,
N4052,ADVANCED AIR TECHNOLOGIES,300 SLEESEMAN DR,CORUNNA,"48817
SHIAWASSEE",View,,,
N6363,CIE NEWCOR MTG,1021 N SHIAWASSEE,CORUNNA,"48817
SHIAWASSEE",View,View,,
U781903050 FORMER GIGI'S BANQUET AND CATERING,,3144 E M-21,CORUNNA,"48817
SHIAWASSEE",View,,,
,,EGLE Air Quality Division Source Master List Sorted By ZIP Code,,,,,,
Source ID,Company,Address,City,ZIP Code County,,Other* ROP,PTI,
A6497,MERIDIAN BRICK,3820 E. SERR RD.,CORUNNA,48817,SHIAWASSEE,View,View View,
P0307,PINCIK FARMS - EDWARD G PINCIK,1405 N KERBY ROAD,CORUNNA,48817,SHIAWASSEE,View,View,
"U331706491 SUNRISE AGGREGATE, LLC",,APPROX. 2110 CARTER ROAD,DANSVILLE,48819,INGHAM,View,,
N6654,WOLVERINE PIPE LINE COMPANY,2499 GRIMES RD,DANSVILLE,48819,INGHAM,View,View,
N3273,INNOVATIVE ENGINEERING,1541 W ROUND LAKE RD,DEWITT,48820,CLINTON,View,,
U191906575 SCOTT ELEMENTARY,,804 WILSON ST.,DEWITT,48820,CLINTON,View,,
P1087,GREEN PEAK INNOVATIONS LLC,10070 HARVEST PARK,DIMONDALE,48821,EATON,,View,
P0152,"MICHIGAN DEPT OF TECHNOLOGY, MANAGEMENT AND BUDGET",7432 PARSONS DR.,DIMONDALE,48821,EATON,View,View,
N7842,CLARK FARMS,10641 W CLARK RD,EAGLE,48822,CLINTON,View,View,
A1571,"HUNTSMAN ADVANCED MATERIALS AMERICAS, LLC.",4917 DAWN AVE,EAST LANSING,48823,INGHAM,View,,
A1588,SUPERIOR BRASS & ALUMINUM,4893 DAWN AVE,EAST LANSING,48823,INGHAM,View,View,
M3883,US DEPT OF AGRICULTURE,3606 E MT HOPE RD,EAST LANSING,48823,INGHAM,View,View,
K3249,MICHIGAN STATE UNIVERSITY,426 AUDITORIUM RD.,EAST LANSING,48824,INGHAM,View,View View,
P1114,"DINO-MITE CRUSHING & RECYCLING, LLC",12625 GREENFIELD ROAD,DETROIT,48827,WAYNE,,View,
P0124,ADMIRAL PETROLEUM,919 S MAIN ST,EATON RAPIDS,48827,EATON,View,,
N5561,AXSON NORTH AMERICA INC,1611 HULTS DR,EATON RAPIDS,48827,EATON,View,,
P0725,EATON RAPIDS ELECTRIC DEPARTMENT,300 MARKET STREE,EATON RAPIDS,48827,EATON,View,View,
N3022,EATON RAPIDS GAS STORAGE SYSTEM,3349 S WAVERLY RD,EATON RAPIDS,48827,INGHAM,View,View,
N3677,MERIDIAN MAGNESIUM PRODUCTS OF AMERICA,2001 INDUSTRIAL DR.,EATON RAPIDS,48827,EATON,View,,
N7241,METOKOTE CORP.,3001 HOLLOW RIDGE DR.,EATON RAPIDS,48827,EATON,View,View,
"U231612072 MICHIGAN BEAN AND SPELT, LLC",,728 MONTGOMERY ST,EATON RAPIDS,48827,EATON,View,,
P0973,RAPIDS TUMBLE FINISH,1607 HULTS ROAD,EATON RAPIDS,48827,EATON,View,View,
P0704,ROGER BETZ FARM,SEC 35 HAMLIN TWP.,EATON RAPIDS,48827,EATON,View,View,
P0178,"URV USA, LLC",330 HAMMAN ST,EATON RAPIDS,48827,EATON,View,,
D1208,VFW NATIONAL HOME FOR CHILDREN,3573 SOUTH WAVERLY ROAD,EATON RAPIDS,48827,INGHAM,View,View,
A0968,"VON WEISE USA, INC",402 E HAVEN ST,EATON RAPIDS,48827,EATON,View,,
B2786,HITACHI MAGNETICS CORP,7800 NEFF RD,EDMORE,48829,MONTCALM,,View,
N7347,"LAKELAND MILLS, INC.",1 LAKELAND PLACE,EDMORE,48829,MONTCALM,View,View,
U191612206 BNM TRAILERS,,7577 N HOLLISTER RD,ELSIE,48831,CLINTON,View,,
B2966,ITT AUTOMOTIVE ELSIE PLANT,222 PARK AVE,ELSIE,48831,CLINTON,View,,
U191908856 RESIDENCE,,7634 W ALLAN RD,ELSIE,48831,CLINTON,View,,
M1906,AGRI SALES INC,6518 W PINGREE RD,ELWELL,48832,GRATIOT,View,,
P1166,BRUCE WALDRON EXCAVATING,8340 PARKS ROAD,ELWELL,48832,GRATIOT,View,View,
U292100113 BRUCE WALDRON EXCAVATING INC.,,8340 PARKS RD.,ELWELL,48832,GRATIOT,View,,
U47149571,ALAN'S PARK,3575 NICHOLSON ROAD,FOWLERVILLE,48836,LIVINGSTON,View,,
N6707,"ASAHI KASEI PLASTICS NORTH AMERICA, INC.",900 E. VAN RIPER RD.,FOWLERVILLE,48836,LIVINGSTON,View,View,
N6662,BIGOS PRECAST,VAN RIPER RD,FOWLERVILLE,48836,LIVINGSTON,View,,
B2795,DTE ELECTRIC COMPANY - COLFAX PEAKING FACILITY,4025 GREGORY,FOWLERVILLE,48836,LIVINGSTON,View,View,
N2697,FOWLERVILLE BP,203 W. GRAND RIVER,FOWLERVILLE,48836,LIVINGSTON,View,,
N7397,INDUSTRIAL RESIN RECYCLING INC. (FORMERLY JCIM),705 E. VAN RIPER RD.,FOWLERVILLE,48836,LIVINGSTON,View,View,
N8260,KREBSVIEW FARMS,8760 MASON RD,FOWLERVILLE,48836,LIVINGSTON,View,View,
N6842,RHETECH INC,9201 W GRAND RIVER,FOWLERVILLE,48836,LIVINGSTON,View,,
P0773,SPRING ARBOR COATINGS - FOWLERVILLE,895 GARDEN LANE,FOWLERVILLE,48836,LIVINGSTON,View,View,
U471600371 VACANT GAS STATION,,306 E. GRAND RIVER,FOWLERVILLE,48836,LIVINGSTON,View,,
N7413,VENTRA FOWLERVILLE LLC,8887 WEST GRAND RIVER AVENUE,FOWLERVILLE,48836,LIVINGSTON,View,View,
N5129,ZF INDUSTRIES INC.,500 E VAN RIPER RD,FOWLERVILLE,48836,LIVINGSTON,View,,
N7823,TRENDWEL ANTRIM INC - EAST ALBERT 2 SATELLITE,E.ALBERT2  NW NW SW SEC2 T29N R2E,ALBERT TWP,48837,MONTMORENCY,View,View,
M3912,ADM GRAIN COMPANY - GRAND LEDGE,16994 S WRIGHT RD,GRAND LEDGE,48837,CLINTON,View,,
N3567,DEPARTMENT OF MILITARY AFFAIRS,10602 EATON HWY,GRAND LEDGE,48837,EATON,View,,
B6202,"E-T-M ENTERPRISES, INC.",920 N. CLINTON ST.,GRAND LEDGE,48837,EATON,View,View View,
U231509358 FELPAUSH,,720 CLINTON,GRAND LEDGE,48837,EATON,View,,
N5996,GRANGER GRAND RIVER AVENUE LANDFILL,8550 WEST GRAND RIVER AVENUE,GRAND LEDGE,48837,CLINTON,View,View,
N7297,"L.D. CLARK COMPANY, LLC",BUILDERS REDI-MIX,GRAND LEDGE,48837,EATON,,View,
B7349,ROBERTS SINTO CORP.,150 ORCHARD STREET,GRAND LEDGE,48837,EATON,View,View,
N2413,SUNDANCE CHEVROLET,5895 E SAGINAW HWY,GRAND LEDGE,48837,EATON,View,,
U231508679 VISION COLLISION,,5607 E. SAGINAW HIGHWAY,GRAND LEDGE,48837,EATON,View,,
N8299,AGA MARVEL,1260 E VANDEINSE ST,GREENVILLE,48838,MONTCALM,View,,
P0538,BLARNEY CASTLE OIL COMPANY,115 E. WASHINGTON,GREENVILLE,48838,MONTCALM,,View,
P1152,"BRIGHTMARK MEADOW ROCK RNG, LLC",7691 RUSSEL ROAD,GREENVILLE,48838,MONTCALM,,View,
N3985,"CLARION TECHNOLOGIES, INC.",501 CEDER ST,GREENVILLE,48838,MONTCALM,View,,
N7688,"DICASTAL NORTH AMERICA, INC.",1 DICASTAL DR.,GREENVILLE,48838,MONTCALM,View,View,
B7288,FEDERAL MOGUL CORP,510 E GROVE ST,GREENVILLE,48838,MONTCALM,View,View,
P0980,"GREENVILLE CABINET DISTRIBUTING, LLC",1323 CALLAGHAN STREET,GREENVILLE,48838,MONTCALM,,View,
N7384,HIGH GRADE MATERIALS CO.,7603 SNOWS LAKE RD.,GREENVILLE,48838,MONTCALM,,View,
N6976,HUNTINGTON FOAM LLC,1323 MOORE DRIVE,GREENVILLE,48838,MONTCALM,View,View,
U591906923,INVENTORY RECOVERY SYSTEMS,1515 SHEARER ROAD,GREENVILLE,48838,MONTCALM,View,,
B1737,KENT FOUNDRY CO.,1413 CALLAGHAN ST.,GREENVILLE,48838,MONTCALM,View,View,
N8280,KEYSTONE AUTOMOTIVE - DIV OF LKQ CORP,5835 VINING RD,GREENVILLE,48838,MONTCALM,View,View,
A4178,MASTER PRECISION MOLDS,1212 FAIRPLAINES,GREENVILLE,48838,MONTCALM,View,,
N5383,MERSEN USA,712 INDUSTRIAL PARK DR,GREENVILLE,48838,MONTCALM,View,,
U591809661 NORTHLAND REFRIDGERATION PLANT,,701 RANNEY DR,GREENVILLE,48838,MONTCALM,View,,
B6121,NUTRIEN AG SOLUTIONS,6288 GREENVILLE RD,GREENVILLE,48838,MONTCALM,View,,
U591609212 OFFICE BUILDING,,306 MAPLEWOOD,GREENVILLE,48838,MONTCALM,View,,
N0830,QG PRINTING II LLC,1321 VAN DEINSE STREET,GREENVILLE,48838,MONTCALM,View,,
N7436,SHOOK ASPHALT CO. INC.,8281 SNOWS LAKE RD.,GREENVILLE,48838,MONTCALM,View,View,
U332000247 WAREHOUSE,,1581 HASLETT RD,HASLETT,48840,INGHAM,View,,
U331513570 BOOKSHELF BOOKSTORE,,2415 NORTH CEDAR ST,HOLT,48841,INGHAM,View,,
N5298,EGLE RRD LANSING DISTRICT,1943 CEDAR STREET,HOLT,48842,INGHAM,,View,
P0533,L & L CONSTRUCTION CO,4195 WILLOUGHBY ROAD,HOLT,48842,INGHAM,View,,
N0034,"MOLDED PLASTIC INDUSTRIES, INC.",2382  JARCO DR,HOLT,48842,INGHAM,View,View,
N5391,ORCHID ORTHOPEDIC SOLUTIONS PLANTS A AND B,1489 CEDAR ST,HOLT,48842,INGHAM,View,View,
P0550,"PAWS UPON THE HEART, LLC",5035 HOLT ROAD,HOLT,48842,INGHAM,View,View,
P0774,PRATT & WHITNEY,1781 HOLLOWAY DRIVE,HOLT,48842,INGHAM,View,View,
,,EGLE Air Quality Division Source Master List Sorted By ZIP Code,,,,,,
Source ID,Company,Address,City,ZIP Code County,Other* ROP,PTI,,
P1167,"SPRING VALLEY INDUSTRIES, LLC",1961 HOLLOWAY DRIVE,HOLT,"48842
INGHAM",,View,,
U331605291 TNT POOLS,,2417 N. CEDAR ST,HOLT,"48842
INGHAM",View,,,
N5822,AA GEAR & MANUFACTURING,1045 DURANT,HOWELL,"48843
LIVINGSTON",View,,,
N5109,CENTURION MEDICAL PRODUCTS,301 CATRELL DR.,HOWELL,"48843
LIVINGSTON",View,,,
B2303,CHEM TREND LIMITED PARTNERSHIP,3205 E GRAND RIVER,HOWELL,"48843
LIVINGSTON",View,View,,
N1862,CHEM-TREND LP,1445 W MCPHERSON PARK DR.,HOWELL,"48843
LIVINGSTON",View,,,
N7368,CRW PLASTICOS (CHANGED IN 2009),5775 BRIGHTON PINES COURT,HOWELL,"48843
LIVINGSTON",View,View,,
P0825,"DCF RECYCLING, INC.",794 CHILSON ROAD,HOWELL,"48843
LIVINGSTON",,View,,
A2931,DIAMOND CHROME PLATING INC,604 S MICHIGAN,HOWELL,"48843
LIVINGSTON",View,,,
N5219,DMI AUTOMOTIVE INC,1200 DURANT DR,HOWELL,"48843
LIVINGSTON",View,View,,
U471802131 ECS PRODUCTION,,2440 W. HIGHLAND ROAD,HOWELL,"48843
LIVINGSTON",View,,,
U471801493 FIRST UNITED METHODIST CHURCH,,1230 BOWER ST.,HOWELL,"48843
LIVINGSTON",View,,,
U471906118 FORMER AUTOONE,,2440 W GRAND RIVER,HOWELL,"48843
LIVINGSTON",View,,,
U472000329 FORMER DTE OFFICES,,316 EAST GRAND RIVER,HOWELL,"48843
LIVINGSTON",View,,,
U472104243 FORMER INDUSTRIAL GARAGE/STORAGE,,"1388 LUCY RD.,",HOWELL,"48843
LIVINGSTON",View,,,
U471906196 FORMER RESIDENTIAL,,2425 WEST GRAND RIVER AVE.,HOWELL,"48843
LIVINGSTON",View,,,
N5572,HOWELL COMPRESSOR STATION,3990  CROOKED LAKE  RD,HOWELL,"48843
LIVINGSTON","View
View",,,
U471706939 HOWELL LANDSCAPE SUPPLIES,,2971 PINCKNEY ROAD,HOWELL,"48843
LIVINGSTON",View,,,
U47142782,JB DESIGN,7031 MUNSELL ROAD,HOWELL,"48843
LIVINGSTON",View,,,
A2913,KEY PLASTICS PLANT 2,1450 MCPHERSON PARK,HOWELL,"48843
LIVINGSTON",View,,,
P1081,LOUIS PADNOS IRON & METAL,645 LUCY ROAD,HOWELL,"48843
LIVINGSTON",,View,,
A2968,"MAY & SCOFIELD INC. (RZI, LLC.)",627 S DEARBORN,HOWELL,"48843
LIVINGSTON",View,,,
N2148,NOVARES - HOWELL,1301 MCPHERSON PARK DR.,HOWELL,"48843
LIVINGSTON",View,View,,
U471907802 OSTLUND A SERVICE COMPANY,,2700 EAST GRAND RIVER AVE,HOWELL,"48843
LIVINGSTON",View,,,
B7164,PEPSI COLA BOTTLING GROUP,725 MCPHERSON PARK DR,HOWELL,"48843
LIVINGSTON",View,,,
U47070110,REGAL RECYCLING,645 LUCY RD,HOWELL,"48843
LIVINGSTON",View,,,
B2685,REULAND ELECTRIC CO,4500 E GRAND RIVER,HOWELL,"48843
LIVINGSTON",View,,,
B7253,ROOTO CORP,3505 W GRAND RIVER,HOWELL,"48843
LIVINGSTON",View,,,
N1514,THAI SUMMIT AMERICA CORPORATION (WAS OGIHARA),1480 MCPHERSON PARK DR,HOWELL,"48843
LIVINGSTON",View,,,
N1182,"THOMSON PLASTICS, INC.",3970 PARSONS RD,HOWELL,"48843
LIVINGSTON",View,,,
U471603573 VACANT STRUCTURE,,S. MICHIGAN AVE,HOWELL,"48843
LIVINGSTON",View,,,
B2337,"VCF FILMS, INC.",1100   SUTTON AVENUE,HOWELL,"48843
LIVINGSTON","View
View",,,
U471802094 MARION OAKS CLUB HOUSE,,2255 PINCKNEY RD,HOWELL/MARION,"48843
LIVINGSTON",View,,,
N6313,MCPHERSON OIL COMPANY,433 HIGHLAND ROAD,HOWELL,"48844
LIVINGSTON",View,,,
B5152,GALLAGHER'S FARM SERVICE,301 MILL ST,IONIA,"48846
IONIA",,View,,
U341600345 GOLDEN GRAIN FARMS,,DICK ROAD,IONIA,"48846
IONIA",View,,,
P0732,HERBRUCK POULTRY RANCH CREMATORY,6595 S. STATE ROAD,IONIA,"48846
IONIA",,View,,
A1723,MATCOR AUTOMOTIVE INC.,314 S STEELE ST,IONIA,"48846
IONIA",View,,,
K2120,MDOC IONIA FACILITIES,1342 WEST MAIN STREET,IONIA,"48846
IONIA",View,View,,
U341604265 REFORMATORY POWER PLANT,,1342 W. MAIN ST.,IONIA,"48846
IONIA",View,,,
P0549,REST IN PEACE FARMS,700 EAST PECK LAKE ROAD,IONIA,"48846
IONIA",View,,,
N7125,SUNSET MEMORIAL GARDENS,2811 S STATE STREET,IONIA,"48846
IONIA",View,View,,
N0923,"VENTRA IONIA MAIN, LLC",14 N BEARDSLEY ROAD,IONIA,"48846
IONIA",View,View,,
N6940,"VENTRA IONIA PAINT, LLC",719 WEST MAIN STREET,IONIA,"48846
IONIA",View,View,,
N3943,VOLCOR FINISHING INC,510 APPLE TREE DR,IONIA,"48846
IONIA",View,,,
U342002994 WOLBERS POSSEHN,,1276 N. STATE ROAD,IONIA,"48846
IONIA",View,,,
M1913,LAPEER GRAIN EAST,155 S SAGINAW,LAPEER,"48846
LAPEER",View,,,
G1075,"AIRCRAFT PRECISION PRODUCTS, INC.",185 INDUSTRIAL PARKWAY,ITHACA,"48847
GRATIOT",View,,,
U292001852 BUILDING,,105 E CENTER ST,ITHACA,"48847
GRATIOT",View,,,
U291701964 C & S STEEL,,301 INDUSTRIAL PARKWAY,ITHACA,"48847
GRATIOT",View,,,
U29145208,CLOVER TECHNOLOGIES,515 UNION ST,ITHACA,"48847
GRATIOT",View,,,
P0528,FOWLER'S FARM-CITY SALES,SOUTH ALGERS AND WASHINGTON,ITHACA,"48847
GRATIOT",View,,,
N6496,HUTCHINSON AEROSPACE & INDUSTRY,1300 S COUNTY FARM RD,ITHACA,"48847
GRATIOT",View,View,,
N7655,"ICM, INC","SECTION 5, NORTH STAR TWP",ITHACA,"48847
GRATIOT",View,,,
U29145153,ITHACA COATINGS,301 AVENUE B - INDUSTRIAL PARKWAY,ITHACA,"48847
GRATIOT",View,,,
N0776,ITHACA MANUFACTURING,1210 AVENUE A,ITHACA,"48847
GRATIOT",View,,,
N0599,M & E PLASTICS LLC,205 INDUSTRIAL PARKWAY,ITHACA,"48847
GRATIOT",View,,,
U29146699,"POWDER COAT OF CENTRAL MICHIGAN, LLC",1201 COUNTY FARM RD,ITHACA,"48847
GRATIOT",View,,,
U291611168 SHULTS EQUIPMENT,,1532 SOUTH STATE,ITHACA,"48847
GRATIOT",View,,,
P0788,"ZFS ITHACA, LLC",1266 E. WASHINGTON ROAD,ITHACA,"48847
GRATIOT",View,View View,,
P0898,"PROLIME AGRICULTURAL, LLC",9542 BEARD ROAD,LAINGSBURG,"48848
SHIAWASSEE",View,View,,
N7145,CALEDONIA FARMERS ELEVATOR COMPANY,9260 EATON HIGHWAY,LAKE ODESSA,"48849
BARRY",,View,,
